,0,1,2,3,4,5,6,7,8
0,50,21,77,0,28,0,27,48,22
1,53,0,82,0,52,-5,29,30,2
2,37,0,76,0,28,18,40,48,8
3,37,0,79,0,34,-26,43,46,2
4,85,0,88,-4,6,1,3,83,80
5,55,-1,95,-3,54,-4,40,41,2
6,37,0,101,-7,28,0,64,73,8
7,37,0,78,-2,12,0,42,65,24
8,45,0,84,0,46,20,38,37,0
9,38,2,77,0,38,7,39,38,0
10,37,0,78,0,-2,5,41,81,40
11,41,0,100,0,38,-8,59,61,2
12,41,0,89,1,38,-16,48,50,2
13,47,0,85,-2,46,-4,38,39,0
14,49,0,79,0,46,-5,30,32,2
15,49,3,82,0,50,4,33,33,0
16,37,-318,105,-2,36,-4,68,69,0
17,44,3,77,0,44,2,33,33,0
18,106,2,108,0,70,0,1,38,36
19,37,-5,76,0,28,0,40,48,8
20,49,0,100,0,50,19,52,51,0
21,45,-1,87,-2,44,-4,43,43,0
22,37,4,80,0,-2,0,43,83,40
23,55,0,86,8,54,0,31,32,0
24,55,3,88,3,54,0,32,33,2
25,37,0,74,0,26,-1,38,48,10
26,37,0,106,0,36,3,68,69,2
27,49,0,107,0,46,-16,58,60,2
28,79,5,83,0,-46,0,4,130,126
29,51,0,79,0,52,29,28,27,0
30,59,4,84,0,60,24,25,24,0
31,37,0,108,0,30,-21,71,77,6
32,39,5,77,0,38,0,37,38,0
33,51,-5,81,0,52,0,30,30,0
34,49,0,77,0,46,-9,29,31,2
35,46,2,77,0,44,-19,32,34,2
36,56,0,81,0,56,0,24,24,0
37,37,0,105,0,34,4,68,71,4
38,76,0,81,-2,-40,13,5,122,118
39,56,0,80,0,56,7,24,23,0
40,41,2,76,0,42,11,35,35,0
41,41,1,85,0,38,0,44,46,2
42,49,0,95,1,50,2,46,46,0
43,37,2,76,0,36,0,38,39,2
44,56,-4,88,0,56,0,31,31,0
45,37,-3,81,-2,38,-9,43,42,0
46,47,0,84,4,46,0,38,38,0
47,41,1,86,2,42,14,45,45,0
48,53,3,81,0,54,0,27,26,0
49,47,5,79,0,46,0,32,32,0
50,104,7,105,7,70,0,1,35,34
51,101,-3,102,-4,72,0,1,29,28
52,45,0,86,0,44,-17,41,42,2
53,42,4,77,0,42,1,35,35,0
54,45,0,79,0,44,-4,34,35,2
55,37,0,80,0,36,15,43,44,2
56,42,0,83,2,42,0,41,42,2
57,51,1,88,0,52,7,37,37,0
58,49,3,82,0,46,-8,33,35,2
59,41,1,86,3,42,6,45,45,0
60,37,0,77,0,336,4910,41,-258,-298
61,49,0,84,0,46,-4,36,38,2
62,37,-1,77,-3,34,-6,40,43,2
63,41,0,79,0,38,-23,38,41,2
64,51,0,79,0,52,2,27,27,0
65,41,0,77,0,42,5,37,36,0
66,46,-3,80,0,46,0,34,34,0
67,44,0,82,-1,44,0,38,38,0
68,45,0,83,0,46,31,37,36,0
69,37,0,77,-1,36,4,40,41,0
70,37,0,75,-1,36,0,38,39,0
71,37,1,77,-2,34,0,40,43,2
72,51,0,79,0,50,-6,28,30,2
73,46,-4,76,-1,46,0,29,29,0
74,49,0,77,5,50,5,28,28,0
75,45,0,108,0,44,-3,62,64,2
76,42,0,79,-2,42,0,36,37,2
77,37,0,78,0,20,-10,41,57,16
78,37,0,76,-3,36,-10,39,40,2
79,53,5,84,0,52,-5,31,32,2
80,38,4,76,0,38,4,38,37,0
81,40,0,80,0,38,-2,40,41,2
82,47,2,95,3,46,0,48,49,0
83,45,0,79,5,44,0,34,35,2
84,41,-1,86,0,42,0,45,45,0
85,56,0,95,0,56,15,40,39,0
86,51,-3,83,0,50,-14,32,33,2
87,37,0,75,0,34,10,38,41,2
88,37,0,75,0,28,16,38,46,8
89,81,-2,84,0,-18,-30,4,103,98
90,43,0,95,-4,42,-4,52,54,2
91,41,0,84,2,42,25,43,43,0
92,49,0,87,-7,46,-25,38,41,2
93,49,0,83,0,46,-14,34,37,2
94,37,-3,77,0,20,0,40,56,16
95,81,0,84,0,-12,29,4,97,94
96,55,1,84,0,54,-1,29,30,2
97,42,0,81,-2,42,-4,39,39,0
98,79,0,83,0,-40,3,4,125,120
99,59,-5,84,0,60,6,25,24,0
100,56,-3,87,0,56,0,31,30,0
101,46,0,80,0,46,0,34,34,0
102,37,0,83,0,34,7,47,50,2
103,37,0,77,0,2,17,40,74,34
104,53,-1,87,-5,52,-10,34,35,2
105,37,-1,79,-4,36,-6,42,43,2
106,44,-1,82,-4,44,0,38,38,0
107,48,-3,95,0,46,-4,47,49,2
108,42,5,79,5,42,0,37,38,0
109,37,0,106,-1,34,0,68,72,4
110,37,0,81,5,36,-3,43,44,2
111,44,-4,82,-3,44,0,38,38,0
112,45,0,83,0,46,19,38,37,0
113,55,2,83,-2,54,0,28,29,0
114,41,3,78,0,38,-1,37,39,2
115,37,0,78,-5,8,0,41,70,30
116,57,3,91,0,56,0,34,34,0
117,37,0,76,0,38,14,38,37,0
118,37,0,77,0,8,-8,41,70,28
119,37,0,76,-5,28,6,39,47,8
120,49,4,84,0,50,2,35,35,0
121,37,0,77,5,-12,-10,41,90,50
122,50,-4,85,0,50,0,35,36,2
123,51,-2,87,0,52,5,36,35,0
124,37,0,93,0,12,7,56,81,24
125,56,0,82,1,54,-12,26,28,2
126,43,0,81,3,42,-4,38,40,2
127,55,-2,108,0,54,-3,52,53,2
128,37,0,81,-1,36,-18,43,44,2
129,45,-1,78,-3,44,-5,33,34,2
130,41,0,77,7,38,0,36,38,2
131,48,1,87,0,46,0,39,41,2
132,43,0,81,0,44,15,37,37,0
133,37,0,92,0,24,3,55,69,14
134,46,1,83,0,44,-9,37,39,2
135,49,-2,77,3,46,-30,28,30,2
136,45,0,83,0,44,2,38,39,0
137,48,-3,109,-6,46,0,61,62,2
138,37,0,83,0,34,5,46,49,4
139,50,-4,83,0,50,0,33,34,2
140,47,-2,75,0,46,0,28,28,0
141,48,1,81,-1,46,0,33,34,2
142,50,3,107,0,50,0,57,58,0
143,38,0,102,-4,34,0,65,69,4
144,37,0,106,17,28,0,69,77,8
145,37,0,77,0,-6,-19,41,85,44
146,37,0,79,0,26,-22,42,53,12
147,43,0,84,0,44,13,41,41,0
148,36,-1,81,0,36,0,45,45,0
149,45,1,80,0,46,31,35,34,0
150,58,5,88,0,56,0,30,31,2
151,48,0,88,-4,46,0,40,41,2
152,105,-1,106,2,70,0,2,36,34
153,54,-1,86,-1,54,-2,32,32,0
154,79,2,83,0,-42,-19,4,126,122
155,37,0,97,0,24,-30,60,73,14
156,46,-3,109,2,46,0,63,63,0
157,37,0,78,0,16,-11,42,63,22
158,37,0,78,0,12,-10,41,65,24
159,54,2,80,0,54,0,26,26,0
160,37,0,104,-9,28,0,67,75,8
161,43,-3,86,0,42,-16,42,44,2
162,41,-1,89,0,38,-14,48,50,2
163,39,0,107,-2,38,0,68,68,0
164,46,0,107,0,46,4,61,60,0
165,37,4,76,0,34,-10,39,43,4
166,44,1,76,0,44,8,32,32,0
167,53,0,79,0,54,14,26,24,0
168,44,0,81,-1,44,5,37,37,0
169,37,0,75,-2,34,0,38,41,2
170,52,4,84,-1,52,-2,31,32,0
171,80,0,85,6,-40,10,5,126,122
172,37,0,76,0,36,4,39,40,2
173,44,2,75,0,44,11,31,31,0
174,43,-5,83,0,42,-9,39,41,2
175,41,-1,76,0,38,-24,35,37,2
176,45,0,86,0,44,-10,41,42,2
177,67,-2,110,0,68,0,43,43,0
178,37,-67,106,0,36,31,69,69,0
179,56,0,108,0,54,-14,52,53,2
180,42,0,86,-3,42,0,44,44,0
181,56,0,84,0,54,-19,28,30,2
182,38,2,80,0,38,4,42,41,0
183,45,0,86,0,44,-3,41,42,2
184,44,0,83,-1,44,0,38,39,0
185,45,-2,83,0,44,-7,37,39,2
186,53,-1,88,0,54,4,35,34,0
187,51,0,83,0,52,19,31,31,0
188,41,0,81,0,38,-3,41,43,2
189,46,0,88,0,46,0,41,41,0
190,43,0,77,0,42,0,34,36,2
191,45,2,76,-3,44,-5,31,32,0
192,41,1,97,0,42,4,55,55,0
193,37,0,81,2,26,0,44,55,10
194,83,0,86,0,-4,0,3,92,88
195,43,0,87,0,42,-6,44,46,2
196,46,2,78,0,46,9,32,32,0
197,37,0,79,0,26,-4,42,53,12
198,43,-1,83,0,42,-6,39,41,2
199,37,0,83,1,24,0,46,59,14
200,56,3,89,0,56,0,33,32,0
201,37,0,78,0,0,-11,42,78,36
202,48,1,87,-6,46,-4,39,41,2
203,37,0,90,0,30,9,53,59,6
204,51,-3,84,4,52,1,33,32,0
205,37,0,78,0,12,11,41,65,24
206,37,0,97,-6,34,0,59,63,4
207,45,-1,77,2,44,0,32,33,0
208,49,0,84,0,50,18,35,35,0
209,53,0,81,4,52,-22,28,29,2
210,37,2,90,0,28,0,53,62,8
211,37,0,77,1,36,0,41,41,0
212,70,57,82,0,-42,-4,12,126,114
213,61,-2,111,0,60,0,50,52,2
214,59,0,86,0,60,21,28,27,0
215,49,0,95,3,50,4,46,46,0
216,45,2,86,6,44,0,41,42,2
217,45,0,79,0,46,6,33,32,0
218,55,-3,96,0,54,-3,41,42,2
219,49,0,78,0,50,3,29,29,0
220,39,3,77,0,38,0,38,38,0
221,56,0,86,0,56,15,31,30,0
222,37,0,81,0,18,-26,44,63,18
223,41,0,82,-2,38,-3,41,43,2
224,45,-3,88,0,44,0,44,44,0
225,37,0,83,0,8,24,46,75,30
226,43,0,77,0,42,-8,34,36,2
227,84,6,89,0,6,-6,5,84,78
228,37,0,79,-1,6,-23,43,74,32
229,37,0,81,0,38,7,43,42,0
230,43,0,77,0,42,-19,34,35,2
231,50,1,78,-2,50,0,28,29,2
232,39,3,86,0,38,0,48,48,0
233,43,0,81,0,42,-10,37,39,2
234,37,0,79,0,36,9,42,43,2
235,58,-4,91,0,56,0,33,34,0
236,45,0,93,2,44,0,49,50,0
237,38,3,76,0,38,8,38,37,0
238,37,0,79,-3,36,-1,41,43,2
239,79,6,83,1,-40,13,4,124,120
240,36,-1,76,0,36,0,39,39,0
241,85,-3,88,0,2,-25,3,86,82
242,37,3,77,0,36,0,41,41,0
243,37,0,77,0,26,-19,41,52,10
244,45,0,79,0,46,14,34,33,0
245,43,-5,77,0,44,19,34,33,0
246,41,0,83,2,38,-1,42,44,2
247,43,0,77,10,42,-34,34,36,2
248,37,0,103,0,24,16,66,80,14
249,50,1,90,3,50,0,39,41,2
250,45,0,84,8,44,-8,39,41,2
251,48,0,89,4,46,-7,41,42,2
252,85,0,88,-3,6,0,3,83,80
253,47,-2,106,0,46,0,59,60,0
254,37,-6,78,0,10,0,42,68,26
255,37,-38,106,-104,30,-17,69,75,6
256,58,0,91,2,56,0,33,34,2
257,46,0,78,-7,46,5,32,32,0
258,56,0,82,0,56,10,26,25,0
259,39,-2,86,0,38,0,46,47,0
260,51,2,81,-5,50,0,30,32,2
261,37,0,75,0,20,11,38,54,16
262,41,-2,80,0,38,-20,39,41,2
263,53,0,86,0,52,-10,33,34,2
264,46,2,88,0,46,3,42,41,0
265,37,0,78,0,6,-4,41,73,32
266,44,0,79,-2,44,0,35,35,0
267,38,-3,76,0,38,0,38,37,0
268,52,4,91,0,52,0,38,39,0
269,37,0,93,0,16,4,55,77,22
270,44,4,82,-7,44,1,38,38,0
271,37,0,79,-4,24,0,42,55,14
272,46,0,87,-7,46,0,41,41,0
273,52,-3,86,0,52,-4,33,34,0
274,41,0,79,0,38,0,39,41,2
275,56,0,80,0,54,-15,24,26,2
276,82,1,86,0,-6,0,3,94,90
277,60,-5,111,0,60,0,50,51,2
278,44,1,88,0,44,4,44,44,0
279,46,1,87,0,46,7,41,41,0
280,52,-3,88,0,52,0,35,36,0
281,37,0,78,0,-2,-6,42,81,40
282,43,0,78,-7,42,0,35,37,2
283,37,0,84,0,18,-25,47,66,18
284,42,-4,85,0,42,0,43,44,2
285,43,0,79,3,42,0,37,38,2
286,78,-2,82,0,-40,0,4,123,120
287,48,0,88,0,46,0,39,41,2
288,55,0,90,0,54,0,36,36,0
289,78,0,82,-2,-40,0,4,123,120
290,39,1,77,2,38,0,38,38,0
291,43,1,77,0,42,0,34,35,2
292,107,-2,108,-2,70,-28,1,38,38
293,55,-1,81,-6,54,-8,26,27,0
294,41,0,106,0,38,-28,64,67,2
295,58,-4,85,0,56,0,28,28,0
296,37,0,76,0,34,13,39,42,4
297,42,-1,78,0,42,0,36,37,2
298,42,5,82,0,42,0,40,41,0
299,53,0,103,-1,52,-17,50,51,2
300,42,2,75,0,42,0,33,34,0
301,37,4,106,0,18,0,68,88,20
302,49,-1,81,0,50,5,33,32,0
303,46,0,77,5,46,0,31,30,0
304,41,1,107,0,38,-7,66,68,2
305,37,0,76,-2,26,1,39,50,12
306,44,-4,77,0,44,4,34,34,0
307,49,-2,83,0,50,0,34,34,0
308,52,2,81,0,52,0,29,29,0
309,37,0,77,0,2,-11,40,75,34
310,37,0,83,0,6,-5,47,78,32
311,46,4,77,0,44,-21,32,34,2
312,51,1,81,0,52,12,29,29,0
313,37,0,106,0,28,-9,69,78,8
314,54,3,83,-3,54,0,29,29,0
315,102,0,103,0,72,24,1,31,30
316,62,0,109,0,62,23,48,47,0
317,44,0,82,1,44,1,38,38,0
318,45,4,87,-1,44,0,42,43,2
319,45,0,81,0,44,-3,36,37,2
320,37,-1,76,-3,20,-7,39,55,16
321,45,0,88,2,44,0,44,44,0
322,44,0,87,-5,44,0,43,43,0
323,37,-3,77,0,38,8,39,38,0
324,37,0,77,1,20,0,40,56,16
325,37,-15,78,0,10,0,42,68,26
326,56,1,80,0,56,1,24,23,0
327,47,-4,86,0,46,0,39,39,0
328,49,-4,107,-1,50,0,58,58,0
329,57,0,82,0,56,0,25,25,0
330,41,1,108,0,42,10,66,66,0
331,37,0,79,0,10,13,42,68,26
332,62,-2,108,0,60,0,45,48,2
333,43,0,86,0,44,21,43,42,0
334,55,0,87,-1,56,18,32,30,0
335,47,-1,86,-2,46,0,39,39,0
336,45,-4,81,1,44,-21,36,37,2
337,57,0,88,-1,56,0,31,31,0
338,37,0,76,0,30,-23,40,45,6
339,41,-1,100,0,42,0,59,59,0
340,49,-1,79,0,50,1,30,30,0
341,37,0,104,-2,16,-14,67,89,22
342,107,-2,108,-1,70,-23,1,38,38
343,56,3,85,0,56,23,29,28,0
344,44,2,83,0,44,9,39,39,0
345,49,-1,86,0,50,4,37,37,0
346,37,0,78,0,8,21,41,70,30
347,106,0,107,-5,70,0,1,37,36
348,37,0,78,0,12,-9,41,65,24
349,43,0,102,0,44,15,59,58,0
350,56,0,92,0,56,0,36,35,0
351,42,0,79,6,42,0,36,37,2
352,37,0,93,-7,12,0,55,80,24
353,66,0,109,0,68,4,43,42,0
354,39,0,79,-1,38,-2,41,41,0
355,37,0,79,3,8,0,42,71,30
356,84,1,87,0,-4,0,3,92,88
357,51,-4,86,0,52,17,35,34,0
358,52,-3,84,0,52,0,31,32,0
359,49,0,95,0,46,-6,47,49,2
360,37,0,95,0,18,22,58,77,20
361,50,-3,81,0,50,0,31,32,2
362,44,0,81,2,42,-12,37,39,2
363,37,0,76,0,20,-20,40,55,16
364,45,0,82,0,44,-11,37,38,2
365,37,0,78,0,2,-24,42,75,34
366,43,0,81,-7,42,0,38,40,2
367,41,-1,81,0,42,0,39,39,0
368,45,-1,88,0,44,0,44,44,0
369,37,0,106,0,34,-12,69,72,4
370,45,0,79,0,46,5,34,33,0
371,37,0,79,0,10,224,42,69,26
372,76,0,81,8,-40,9,5,122,116
373,44,-1,85,0,44,3,41,41,0
